domain,source_mode,run_id,category,region,rank,overall_score,grade,no_pre_consent_trackers,reject_option_available,equal_accept_reject_effort,no_dark_patterns,post_reject_compliance,transparent_information,cmp_detected,dark_pattern_count,pre_consent_tracker_count,total_pre_consent_cookies
blocket.se,real_combined,batch-2,marketplace,SE,97,11,F,0,0,0,60,0,20,,1,12,5
boe.es,real_combined,batch-2,government,ES,24,34,F,100,0,0,60,0,0,,1,0,0
bol.de,real_combined,batch-2,e-commerce,DE,60,16.5,F,30,0,0,60,0,0,,1,3,2
britishairways.com,real_combined,batch-2,travel,UK,81,34,F,100,0,0,60,0,0,,1,0,0
cadremploi.fr,real_combined,batch-2,employment,FR,38,11,F,0,0,0,60,0,20,Quantcast,1,11,2
caixabank.com,real_combined,batch-2,finance,ES,30,13.5,F,10,0,0,60,0,20,,1,8,7
clevelandclinic.org,real_combined,batch-2,health,US,91,6.5,F,0,0,0,30,0,20,,2,12,9
condor.com,real_combined,batch-2,travel,DE,82,11,F,0,0,0,60,0,20,Usercentrics,1,11,11
craigslist.org,real_combined,batch-2,marketplace,US,96,34,F,100,0,0,60,0,0,,1,0,2
crunchyroll.com,real_combined,batch-2,entertainment,US,14,24,F,60,0,0,60,0,0,,1,1,3
dailymail.co.uk,real_combined,batch-2,news,UK,10,9,F,0,0,0,60,0,0,TrustArc,1,16,12
dba.dk,real_combined,batch-2,marketplace,DK,50,11.5,F,10,0,0,60,0,0,,1,7,1
decathlon.de,real_combined,batch-2,e-commerce,DE,57,16.5,F,30,0,0,60,0,0,TrustArc,1,5,4
ebay.com,real_combined,batch-2,e-commerce,US,2,11,F,0,0,0,60,0,20,TrustArc,1,21,31
ec.europa.eu,real_combined,batch-2,government,EU,21,24.5,F,60,0,0,30,0,50,OneTrust,2,2,3
elster.de,real_combined,batch-2,government,DE,75,36,F,100,0,0,60,0,20,,1,0,3
ens.psl.eu,real_combined,batch-2,education,FR,19,13.5,F,10,0,0,60,0,20,TrustArc,1,8,3
eprice.it,real_combined,batch-2,e-commerce,IT,59,34,F,100,0,0,60,0,0,,1,0,0
europapress.es,real_combined,batch-2,news,ES,54,11,F,0,0,0,60,0,20,Quantcast,1,12,5
eurowings.com,real_combined,batch-2,travel,DE,32,16.5,F,30,0,0,60,0,0,OneTrust,1,5,8
experteer.com,real_combined,batch-2,employment,DE,89,13,F,0,0,0,60,0,40,Cookiebot,1,9,14
farmaciasdirect.com,real_combined,batch-2,health,ES,45,11,F,0,0,0,60,0,20,Cookiebot,1,11,10
finn.no,real_combined,batch-2,marketplace,NO,98,11.5,F,10,0,0,60,0,0,,1,8,3
finnair.com,real_combined,batch-2,travel,FI,85,16.5,F,30,0,0,60,0,0,,1,5,7
france.tv,real_combined,batch-2,entertainment,FR,63,34,F,100,0,0,60,0,0,Didomi,1,0,0
france24.com,real_combined,batch-2,news,FR,52,32,F,60,0,50,30,0,50,Didomi,2,1,6
gezondheid.be,real_combined,batch-2,health,BE,93,60.5,C,10,100,100,100,0,80,Didomi,0,10,13
gumtree.com,real_combined,batch-2,marketplace,UK,46,13.5,F,10,0,0,60,0,20,OneTrust,1,10,9
harvard.edu,real_combined,batch-2,education,US,66,7,F,10,0,0,30,0,0,,2,6,3
hays.com,real_combined,batch-2,employment,UK,87,11.5,F,10,0,0,60,0,0,TrustArc,1,9,14
healthline.com,real_combined,batch-2,health,US,43,18.5,F,30,0,0,60,0,20,OneTrust,1,5,1
ilsole24ore.com,real_combined,batch-2,news,IT,8,46,D,0,100,100,60,0,20,OneTrust,1,32,17
imperial.ac.uk,real_combined,batch-2,education,UK,17,11.5,F,10,0,0,60,0,0,OneTrust,1,7,5
jobrapido.com,real_combined,batch-2,employment,IT,39,14,F,30,0,0,30,0,20,Cookiebot,2,5,7
larazon.es,real_combined,batch-2,news,ES,9,14,F,0,0,0,60,0,50,Didomi,1,13,5
lefigaro.fr,real_combined,batch-2,news,FR,7,11.5,F,10,0,0,60,0,0,,1,10,3
linkedin.de,real_combined,batch-2,employment,DE,36,52,D,0,100,100,100,0,20,,0,3,8
mango.com,real_combined,batch-2,e-commerce,ES,56,34,F,100,0,0,60,0,0,,1,0,0
manpower.com,real_combined,batch-2,employment,US,90,11.5,F,10,0,0,60,0,0,OneTrust,1,4,5
maxdome.de,real_combined,batch-2,entertainment,DE,62,16.5,F,30,0,0,60,0,0,,1,3,1
mediolanum.it,real_combined,batch-2,finance,IT,78,11.5,F,10,0,0,60,0,0,,1,10,15
milanuncios.com,real_combined,batch-2,marketplace,ES,47,34,F,100,0,0,60,0,0,,1,0,1
mps.it,real_combined,batch-2,finance,IT,29,26.5,F,30,0,0,60,0,100,,1,5,2
n26.de,real_combined,batch-2,finance,DE,80,58.5,D,30,100,100,60,0,70,OneTrust,1,5,5
netdoktor.at,real_combined,batch-2,health,AT,92,18.5,F,30,0,0,60,0,20,,1,3,1
norwegian.com,real_combined,batch-2,travel,NO,34,11.5,F,10,0,0,60,0,0,,1,6,9
olx.pl,real_combined,batch-2,marketplace,PL,99,11,F,0,0,0,60,0,20,OneTrust,1,12,0
paramount.com,real_combined,batch-2,entertainment,US,61,53.5,D,10,100,100,60,0,70,OneTrust,1,7,6
parliament.uk,real_combined,batch-2,government,UK,25,18.5,F,30,0,0,60,0,20,,1,4,3
ricardo.ch,real_combined,batch-2,marketplace,CH,48,57,D,0,100,100,100,0,70,OneTrust,0,16,5
sahibinden.com,real_combined,batch-2,marketplace,TR,100,15.5,F,10,0,0,60,0,40,OneTrust,1,9,17
sciencespo.fr,real_combined,batch-2,education,FR,69,22,F,30,0,50,0,0,70,Cookiebot,3,4,4
senat.fr,real_combined,batch-2,government,FR,22,67,C,60,100,100,100,0,20,TrustArc,0,1,2
sky.com,real_combined,batch-2,news,UK,55,13.5,F,10,0,0,60,0,20,,1,10,14
sky.de,real_combined,batch-2,entertainment,DE,15,34,F,100,0,0,60,0,0,,1,0,0
stanford.edu,real_combined,batch-2,education,US,16,11,F,0,0,0,60,0,20,,1,13,14
sueddeutsche.de,real_combined,batch-2,news,DE,6,13.5,F,10,0,0,60,0,20,OneTrust,1,9,10
telegram.org,real_combined,batch-2,social_media,EU,5,36,F,100,0,0,60,0,20,,1,0,1
terveyskirjasto.fi,real_combined,batch-2,health,FI,94,13.5,F,10,0,0,60,0,20,OneTrust,1,6,3
thuisarts.nl,real_combined,batch-2,health,NL,95,21.5,F,60,0,0,30,0,20,TrustArc,2,1,2
tori.fi,real_combined,batch-2,marketplace,FI,49,11.5,F,10,0,0,60,0,0,,1,8,0
totaljobs.com,real_combined,batch-2,employment,UK,37,12,F,30,0,0,30,0,0,TrustArc,2,4,6
transavia.com,real_combined,batch-2,travel,FR,33,24,F,60,0,0,60,0,0,,1,1,3
triodos.com,real_combined,batch-2,finance,NL,76,92,A,100,100,100,60,100,80,TrustArc,1,0,7
tumblr.com,real_combined,batch-2,social_media,US,3,24,F,60,0,0,60,0,0,,1,2,2
ucl.ac.uk,real_combined,batch-2,education,UK,67,11.5,F,10,0,0,60,0,0,TrustArc,1,5,5
unibo.it,real_combined,batch-2,education,IT,70,15.5,F,30,0,0,0,0,80,,3,5,9
upc.edu,real_combined,batch-2,education,ES,20,16.5,F,30,0,0,60,0,0,Usercentrics,1,4,3
veepee.com,real_combined,batch-2,e-commerce,FR,58,9.5,F,0,0,0,30,0,50,OneTrust,2,11,8
volotea.com,real_combined,batch-2,travel,ES,84,9.5,F,0,0,0,30,0,50,OneTrust,2,12,18
whatsapp.com,real_combined,batch-2,social_media,US,4,24,F,60,0,0,60,0,0,Cookiebot,1,1,3
xing.com,real_combined,batch-2,employment,DE,86,13.5,F,10,0,0,60,0,20,Usercentrics,1,3,7
yahoo.com,real_combined,batch-2,tech,US,1,29,F,60,0,0,60,0,50,,1,1,1
